Issue #,Title,HTML URL,Date Filed,Status,Closed Date,Labels,Assignees,Milestone,Body Snippet (MRE/Backtrace hint),Linked PRs (URL;Author;Status),Guessed Kind,Guessed CPython Versions,Guessed Configurations
126456,`_pyrepl._minimal_curses.tigetstr` segfaults,https://github.com/python/cpython/issues/126456,2024-11-05,closed,2024-11-13,type-crash;3.13;3.14;topic-repl,,,"# Crash report\n\n### What happened?\n\nCalling `tigetstr` from the `_pyrepl._minimal_curses` module segfaults, on free-threading or normal builds:\n\n```\npython -c ""from _pyrepl._minimal_curses import tigetstr; tigetstr('')""\nSegmentation fault\n```\nIt happens in the return line of the function, on access of the `.value` attribute:\n\nhttps://github.com/python/cpython/blob/5e9168492f12c579b2481f3f3e0ae11f9d986857/Lib/_pyrepl/_minimal_curses.py#L55-L61\n\nBacktrace looks like:...",,Segfault/Crash,3.13;3.14,
126461,Calling `_pickle.load` with a `MagicMock` results in `SystemError`/aborts,https://github.com/python/cpython/issues/126461,2024-11-05,closed,2024-11-06,extension-modules;type-crash;3.12;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nCalling `_pickle.load(MagicMock())` with a results in an abort in debug builds and a `SystemError` in non-debug.\n\nIn debug builds:\n```python\npython -c ""from unittest.mock import MagicMock as MM; from _pickle import load;\n load(MM())""\npython: Objects/typeobject.c:5583: _PyType_LookupRef: Assertion `!PyErr_Occurred()' failed.\nAborted\n```\n\n...",,Abort/AssertionError,3.12;3.13;3.14,
126594,"Failed assertion in typeobject.c::wrap_buffer for `b"""".__buffer__(-2**31 - 1)`",https://github.com/python/cpython/issues/126594,2024-11-08,closed,2024-11-24,interpreter-core;type-crash;3.12;3.13;3.14,JelleZijlstra,,"# Crash report\n\n### What happened?\n\nCalling `bytes_object.__buffer__(large_negative_number)` in a debug build aborts with this message:\n\n```python\n>>> b"""".__buffer__(-2**31 - 1)\npython: Objects/typeobject.c:9321: wrap_buffer: Assertion `_Py_STATIC_CAST(Py_ssize_t, _Py_STATIC_CAST(int, (flags))) == (flags)' failed.\nAborted\n```\n\nFound using fusil by @vstinner.\n\n### CPython versions tested on:...",,Abort/AssertionError,3.12;3.13;3.14,
126595,Failed assertion in `itertoolsmodule.c: itertools_count_impl` for `count(sys.maxsize)`,https://github.com/python/cpython/issues/126595,2024-11-08,closed,2024-11-12,interpreter-core;type-crash;3.12;3.13;3.14,picnixz,,"# Crash report\n\n### What happened?\n\nCalling `itertools.count(sys.maxsize)` aborts with the following message:\n\n```\npython -c ""from sys import maxsize; from itertools import count; count(maxsize)""\npython: ./Modules/itertoolsmodule.c:3325: itertools_count_impl: Assertion `(cnt != PY_SSIZE_T_MAX && long_cnt == NULL && fast_mode) || (cnt == PY_SSIZE_T_MAX && long_cnt != NULL && !fast_mode)' failed.\nAborted (core dumped)\n```\n\nFound using fusil by @vstinner.\n\n### CPython versions tested on:...",,Abort/AssertionError,3.12;3.13;3.14,
126644,`_interpreters` is not thread safe on the free-threaded build,https://github.com/python/cpython/issues/126644,2024-11-10,closed,2025-01-11,extension-modules;type-crash;topic-subinterpreters;3.13;topic-free-threading;3.14,ZeroIntensity,,"# Crash report\n\n### What happened?\n\nFirst off, sorry for not being able to offer code that is more reduced and certain to trigger a repro.\n\nThe code below non-deterministically triggers `python: Python/index_pool.c:92: heap_pop: Assertion 'heap->size > 0' failed.` in a free-threading build with `PYTHON_GIL=0`.\n\n```python\nimport _interpreters\nfrom threading import Thread\n\ndef f(): pass\n\nints = []...",,,3.13;3.14,
126654,`_interpreters.exec` with invalid parameters segfaults,https://github.com/python/cpython/issues/126654,2024-11-10,closed,2024-11-11,extension-modules;type-crash;topic-subinterpreters,sobolevn,,"# Crash report\n\n### What happened?\n\nThe code below segfaults on non-debug builds and aborts on debug builds.\n\n```python\nimport _interpreters\n\n_interpreters.exec(False, ""aaaa"", 1)\n```\n\nThe abort looks like:\n```\npython: ./Modules/_interpretersmodule.c:462: _run_in_interpreter: Assertion `!PyErr_Occurred()' failed....",,Segfault/Crash,,
126876,Assertion failure for `socket` with too large default timeout (larger than INT_MAX),https://github.com/python/cpython/issues/126876,2024-11-15,closed,2024-12-14,extension-modules;type-crash;3.12;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nA debug build will abort when calling `socket._fallback_socketpair()` after a call to `socket.setdefaulttimeout` with too high a value:\n\n```python\npython -c ""import socket; socket.setdefaulttimeout(2**31) ; socket._fallback_socketpair()""\npython: ./Modules/socketmodule.c:819: internal_select: Assertion `ms <= INT_MAX' failed.\nAborted (core dumped)\n```\nFound using fusil by @vstinner.\n\n### CPython versions tested on:\n...",,Abort/AssertionError,3.12;3.13;3.14,
126881,Segfault with `asyncio.base_events.BaseEventLoop` when passed a small float to `set_debug`.,https://github.com/python/cpython/issues/126881,2024-11-15,closed,2024-11-29,interpreter-core;type-crash;3.12;3.13;3.14,kumaraditya303,,# Crash report\n\n### What happened?\n\nIt's possible to segfault the interpreter by passing a small float as the `enabled` parameter of `asyncio.base_events.BaseEventLoop.set_debug()`:\n\n```python\nimport asyncio.base_events\n\nobj = asyncio.base_events.BaseEventLoop()\nobj.set_debug(0.0005)\nobj._run_forever_setup()\n```\nFound using fusil by @vstinner.\n...,,Segfault/Crash,3.12;3.13;3.14,
126884,Calling `cProfile.runctx` in threads on a free-threading build segfaults,https://github.com/python/cpython/issues/126884,2024-11-15,open,,extension-modules;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nOn a no-gil build running with `PYTHON_GIL=0`, repeatedly calling `cProfile.runctx` in threads leads to a segfault:\n\n```python\nfrom threading import Thread\nimport cProfile\n\nfor x in range(100):\n    Thread(target=cProfile.runctx, args=("""", {}, {}, """",)).start()\n```\n\nBacktrace:...",,Segfault/Crash,3.13;3.14,
126895,Segfault/aborts calling `readline.set_completer_delims` in threads in a free-threaded build,https://github.com/python/cpython/issues/126895,2024-11-16,closed,2025-03-17,stdlib;extension-modules;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nCalling `difflib._test` in threads in a free-threaded build (with `PYTHON_GIL=0`) will result in aborts or segfaults, apparently related to memory issues:\n\n```python\nfrom threading import Thread\nimport difflib\n\nfor x in range(100):\n    Thread(target=difflib._test, args=()).start()\n```\n\nSegfault backtrace:...",,Segfault/Crash,3.13;3.14,
126907,Running `atexit` from threads in free-threading build segfaults,https://github.com/python/cpython/issues/126907,2024-11-16,closed,2024-12-16,extension-modules;type-crash;3.13;topic-free-threading;3.14,ZeroIntensity,,# Crash report\n\n### What happened?\n\nIt's possible to segfault or abort a no-gil interpreter running with `PYTHON_GIL=0` by calling `atexit` functions from threads:\n\n```python\nfrom threading import Thread\nimport atexit\n\ndef g():\n    pass\n\ndef f():\n    for x in range(100):...,,Segfault/Crash,3.13;3.14,
127085,Calling `ShareableList.count` in threads aborts: `Assertion 'self->exports == 0' failed`,https://github.com/python/cpython/issues/127085,2024-11-21,closed,2024-12-16,interpreter-core;type-crash;topic-multiprocessing;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to abort the interpreter by calling `multiprocessing.shared_memory.ShareableList.count` in threads with `PYTHON_GIL=0` in a debug build:\n\n```python\nimport gc\nimport multiprocessing.shared_memory\nfrom threading import Thread\n\nobj = multiprocessing.shared_memory.ShareableList(""Uq..SeDAmB+EBrkLl.SG.Z+Z.ZdsV..wT+zLxKwdN\b"")\n\nfor x in range(10):\n    Thread(target=obj.count, args=(1,)).start()...",,Abort/AssertionError,3.13;3.14,
127165,Segfault in invalid `concurrent.futures.interpreter.WorkerContext`,https://github.com/python/cpython/issues/127165,2024-11-22,closed,2024-12-01,extension-modules;type-crash;topic-subinterpreters;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to segfault the interpreter by calling `initialize()` on a `concurrent.futures.interpreter.WorkerContext` instance that was created with the `shared` argument being a dict containing the null byte as a key:\n\n```python\npython -c ""import concurrent.futures.interpreter; w = concurrent.futures.interpreter.WorkerContext(0, {'\x00': ''}).initialize()""\n```\n\nThis doesn't require threads or free-threading. It can be traced to the `_interpreters` module:\n```python\nimport _interpreters\n_interpreters.create()\n_interpreters.set___main___attrs(1, {""\x00"": 1}, restrict=True)...",,Segfault/Crash,3.13;3.14,
127182,Assertion failure from `StringIO.__setstate__`,https://github.com/python/cpython/issues/127182,2024-11-23,closed,2024-11-25,extension-modules;type-crash;3.13;3.14,sobolevn,,"# Crash report\n\n### What happened?\n\nIt's possible to abort the interpreter by calling `StringIO.__setstate__` with a non-string `initial_value`:\n\n```python\npython -c ""from io import StringIO; StringIO().__setstate__((None, '', 0, {}))""\npython: Objects/unicodeobject.c:2542: as_ucs4: Assertion `PyUnicode_Check(string)' failed.\nAborted (core dumped)\n```\n\nInterestingly, on a non-debug build passing an int as `initial_value` gives an error message saying that `None` should be a valid value:\n```python\npython -c ""from io import StringIO; StringIO().__setstate__((1, '', 0, {}))""...",,Abort/AssertionError,3.13;3.14,
127190,Segfault from `asyncio.events._running_loop.__setattr__` with invalid name,https://github.com/python/cpython/issues/127190,2024-11-23,closed,2024-11-28,extension-modules;type-crash;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to segfault the interpreter by calling `asyncio.events._running_loop.__setattr__` with a special class as `name`, as in this example:\n\n```python\nimport asyncio.events\n\nclass Liar1:\n    def __eq__(self, other):\n        return True\n\nasyncio.events._running_loop.__setattr__(Liar1(), type)\n...",,Segfault/Crash,3.13;3.14,
127192,Segfault or abort in free-threaded build calling methods from exception in threads,https://github.com/python/cpython/issues/127192,2024-11-23,closed,2024-11-23,interpreter-core;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nIn a no-gil build with `PYTHON_GIL=0`, it's possible to get the interpreter to segfault or abort with the message `Fatal Python error: PyMutex_Unlock: unlocking mutex that is not locked` by running the following code:\n\n```python\nfrom threading import Thread\nimport email.errors\n\nalive = []\nfor x in range(100):\n    obj = email.errors.InvalidMultipartContentTransferEncodingDefect()\n\n    alive.append(Thread(target=obj.__getstate__, args=()))...",,Segfault/Crash,3.13;3.14,
127196,`_interpreters.exec` with invalid dict as `shared` segfaults,https://github.com/python/cpython/issues/127196,2024-11-23,closed,2025-01-09,extension-modules;type-crash;topic-subinterpreters;3.13;3.14,sobolevn,,"# Crash report\n\n### What happened?\n\nPassing a dict with an invalid key as the `shared` parameter to `_interpreters.exec` segfaults the interpreter (or aborts in a debug build):\n\n```python\nimport _interpreters\n_interpreters.exec(0, ""1"", {""\uFD7C\u5124\u7B91\u92E9\u1850\u39AA\u0DF2\uD82A\u2D68\uACAD\u92DE\u47C5\uFFD0\uDE0B\uAA9C\u2C17\\u6577\u4C92\uD37C"": 0})\n```\nBacktrace:\n```gdb\n#0  0x00005555557c496c in _PyXI_ApplyError (error=0x0) at Python/crossinterp.c:1056\n#1  0x00007ffff79db822 in _run_in_interpreter (p_excinfo=0x7fffffffd820, flags=1,\n    shareables=0x7ffff7a186c0, codestrlen=<optimized out>, codestr=0x555555aceff8 <_PyRuntime+76888> ""1"",...",,Segfault/Crash,3.13;3.14,
127208,`ExtensionFileLoader.load_module` aborts when initialized with a path containing null-bytes,https://github.com/python/cpython/issues/127208,2024-11-24,closed,2024-11-29,interpreter-core;type-crash;topic-importlib;3.12;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to abort a debug build by initializing a `_frozen_importlib_external.ExtensionFileLoader` with a path containing null-bytes, then calling `load_module()`:\n\n```python\nimport _frozen_importlib_external\n\n_frozen_importlib_external.ExtensionFileLoader(""a"", ""\x00"").load_module(None)\n```\nAbort message:\n```\npython: Python/import.c:939: hashtable_key_from_2_strings: Assertion `strlen(key) == size - 1' failed.\nAborted...",,Abort/AssertionError,3.12;3.13;3.14,
127234,Assertion failures from `_interpchannels._register_end_types` ,https://github.com/python/cpython/issues/127234,2024-11-24,open,,extension-modules;type-crash;topic-subinterpreters;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to abort a debug build by calling `_interpchannels._register_end_types`  with invalid values:\n\n```python\nimport _interpchannels\n\n_interpchannels._register_end_types(int, int)\n```\nAbort on 3.13:\n```\npython: Python/crossinterp_data_lookup.h:260: _PyCrossInterpreterData_RegisterClass: Assertion `matched->getdata == getdata' failed.\nAborted...",,Abort/AssertionError,3.13;3.14,
127235,Failed assertion in `Python/legacy_tracing.c:431` on a free-threading build,https://github.com/python/cpython/issues/127235,2024-11-24,open,,type-crash;topic-free-threading,,,"# Crash report\n\n### What happened?\n\nIt's possible to cause an abort on `!_PyMem_IsPtrFreed(tstate)` while running with `PYTHON_GIL=0` by calling the following code:\n```python\nimport threading\n\ndef errback(*args, **kw):\n    raise ValueError('error')\n\nfor x in range(200):\n    threading._start_joinable_thread(errback)\n    try:\n        threading.setprofile_all_threads("""")...",,Abort/AssertionError,,
127316,[FreeThreading] object_set_class() fails with an assertion error in _PyCriticalSection_AssertHeld(),https://github.com/python/cpython/issues/127316,2024-11-27,closed,2024-11-29,interpreter-core;type-crash;topic-free-threading,kumaraditya303,,"# Crash report\n\n### What happened?\n\nOn a free-threaded debug build, even with `PYTHON_GIL=1`, it's possible to abort the interpreter by calling `_DummyThread._after_fork` after a `__reduce__` call:\n\n```python\nimport threading\n\nobj = threading._DummyThread()\nres = obj.__reduce__()\nres = obj._after_fork(1)\n```\nAbort message:\n```...",,Abort/AssertionError,,
127603,Abort from `GenericAlias.__sizeof__`: `ob->ob_type != &PyLong_Type`,https://github.com/python/cpython/issues/127603,2024-12-04,closed,2024-12-11,interpreter-core;type-crash;3.12,,,"# Crash report\n\n### What happened?\n\nIt's possible to abort the interpreter in 3.12 by calling `__sizeof__` of a `GenericAlias` instance:\n\n```python\nfrom types import GenericAlias\n\ng = GenericAlias(BaseException, Exception)\ng.__sizeof__(1)\n```\nAbort message:\n```\npython: ./Include/object.h:231: Py_SIZE: Assertion `ob->ob_type != &PyLong_Type' failed....",,Abort/AssertionError,3.12,
127836,Assertion failure on finalization with `_lsprof` and `asyncio` in 3.12,https://github.com/python/cpython/issues/127836,2024-12-11,closed,2025-02-23,topic-asyncio;type-crash;3.12,,,"# Crash report\n\n### What happened?\n\nIt's possible to abort the interpreter in 3.12 during finalization by having a mix of enabled `_lsprof` and `asyncio` with very specific details:\n\n```python\nimport asyncio\nimport _lsprof\n\nobj = _lsprof.Profiler()\nobj.enable()\nobj._pystart_callback(lambda: 0, 0)\nobj = None  # Required\n...",,Abort/AssertionError,3.12,
127870,Segfaults in ctypes _as_parameter_ handling when called with `MagicMock`,https://github.com/python/cpython/issues/127870,2024-12-12,closed,2024-12-13,topic-ctypes;type-crash,,,"# Crash report\n\n### What happened?\n\nIt's possible to segfault the interpreter by calling any of the 3 functions below with `MagicMock` as argument. It takes a long time to trigger the crash (up to 3 minutes in my slow machine).\n\n```python\nfrom unittest.mock import MagicMock\nimport _pyrepl._minimal_curses\n\nobj = _pyrepl._minimal_curses.tparm(MagicMock(), 0, 0, 0, 0, 0, 0, 0)\nobj = _pyrepl._minimal_curses.setupterm(MagicMock(), 0)\nobj = _pyrepl._minimal_curses.tigetstr(MagicMock())\n```\n...",,Segfault/Crash,,
129573,Failed assertion in `_PyUnicode_Equal` from `calculate_suggestions` with non-string candidate,https://github.com/python/cpython/issues/129573,2025-02-02,open,,interpreter-core;type-crash;3.12;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nThe interpreter will abort if `runpy._run_module_code` is called with invalid values:\n```python\nimport runpy\nrunpy._run_module_code(""A"", {0: """"}, """")\n```\n\nAnother way to trigger:\n```python\nclass Parent:\n    def __dir__(self):\n        return [0]...",,Abort/AssertionError,3.12;3.13;3.14,
129766,Fatal Python error from `warnings._release_lock()`,https://github.com/python/cpython/issues/129766,2025-02-07,closed,2025-02-07,type-crash,sobolevn,,# Crash report\n\n### What happened?\n\nExposing the mutex  used by the `_warnings` module in https://github.com/python/cpython/pull/128386 has made it possible to abort the interpreter by calling `warnings._release_lock()`:\n\n```python\nimport warnings\nwarnings._release_lock()\n```\n\nError message:\n```\nFatal Python error: _PyRecursiveMutex_Unlock: unlocking a recursive mutex that is not owned by the current thread\nPython runtime state: initialized...,,Fatal Python Error,,
131580,Faulthandler segfaults when called from threads,https://github.com/python/cpython/issues/131580,2025-03-22,closed,2025-03-25,extension-modules;type-crash,,,"# Crash report\n\n### What happened?\n\nIn a GILfull build of main, it's rarely possible to get faulthandler to segfault when calling it from threads. ~~Since it's a rare crash and I'm on mobile, no reduced test case is available at the moment.~~\n\nHere's the traceback:\n```gdb\n#0  _PyFrame_GetCode (f=0xfffff7fea1f0) at ./Include/internal/pycore_frame.h:94\n#1  dump_frame (fd=fd@entry=2, frame=frame@entry=0xfffff7fea1f0)\n    at Python/traceback.c:914\n#2  0x000000000076254c in dump_traceback (fd=fd@entry=2,\n    tstate=tstate@entry=0xaeb528 <_PyRuntime+329832>,\n    write_header=write_header@entry=0) at Python/traceback.c:1007\n#3  0x0000000000762710 in _Py_DumpTracebackThreads (fd=2,...",,Segfault/Crash,,
131998,The interpreter crashes when specializing bound method calls on unbound objects,https://github.com/python/cpython/issues/131998,2025-04-02,closed,2025-04-08,interpreter-core;release-blocker;type-crash;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nThe following code segfaults the interpreter:\n\n```python\nimport glob\n\nfor x in range(3):\n    str_globber = glob._StringGlobber(None, None)\nstr_globber.selector(set())\n\ntry:\n    str_globber.selector([True, True, False])...",,Segfault/Crash,3.13;3.14,
132002,Segfault deallocating a `ContextVar` built with `str` subclass,https://github.com/python/cpython/issues/132002,2025-04-02,closed,2025-04-02,extension-modules;type-crash;3.12;3.13;3.14,sobolevn,,"# Crash report\n\n### What happened?\n\nCreating a `ContextVar` with an instance of a subclass of `str` leads to a segfault during its deallocation:\n\n```python\nfrom _contextvars import ContextVar\n\nclass weird_str(str):\n    def __eq__(self, other):\n        pass\n\nContextVar(weird_str())\n```...",,Segfault/Crash,3.12;3.13;3.14,
132011,Failed assertion in `_PyEval_EvalFrameDefault`: `self_o != NULL`,https://github.com/python/cpython/issues/132011,2025-04-02,closed,2025-04-06,interpreter-core;type-crash,sobolevn,,"# Crash report\n\n### What happened?\n\nIt's possible to make the interpreter exit with a failed assertion by running the following code:\n\n```python\nimport difflib\n\nobj = difflib.HtmlDiff(None, None, None, None,)\n\ntry:\n    for x in range(3):\n        obj._split_line([], None, None)\nexcept:...",,Abort/AssertionError,,
132171,Assertion failure calling `_interpreters.run_string` with a string subclass instance,https://github.com/python/cpython/issues/132171,2025-04-06,closed,2025-04-07,extension-modules;type-crash;topic-subinterpreters,sobolevn,,"# Crash report\n\n### What happened?\n\nIt's possible to make the interpreter abort by calling `_interpreters.run_string` with an instance of a subclass of `str` as the `script` argument:\n\n```python\nimport _interpreters\n\nclass weird_str(str): pass\n    \n_interpreters.create()\n_interpreters.run_string(1, weird_str('1'))\npython: ./Modules/_interpretersmodule.c:333: get_code_str: Assertion `PyUnicode_CheckExact(arg) && (check_code_str((PyUnicodeObject *)arg) == NULL)' failed.\nAborted (core dumped)...",,Abort/AssertionError,,
132176,Abort when using a tuple subclass instance as the `bases` parameter for `type`,https://github.com/python/cpython/issues/132176,2025-04-06,closed,2025-04-15,interpreter-core;type-crash,sobolevn,,"# Crash report\n\n### What happened?\n\nThe interpreter will abort when a new type is created using an instance of a subclass of `tuple` as the `bases` parameter due to a `PyTuple_CheckExact(bases)` assertion:\n```python\nclass weird_tuple(tuple): pass\n\nc = type(""c"", weird_tuple((str,)), {})\npython: Objects/typeobject.c:500: set_tp_bases: Assertion `PyTuple_CheckExact(bases)' failed.\nAborted (core dumped)\n```\n\nFound using [fusil](https://github.com/devdanzin/fusil) by @vstinner.\n...",,Abort/AssertionError,,
